id,close,datetime,high,low,name,open,volume
168,7335.56006,2020-01-03,7399.00000,6878.79980,BTC,6964.39990,
169,6962.74023,2020-01-02,7212.50000,6943.75977,BTC,7193.35010,
170,7200.56006,2020-01-01,7254.91992,7175.81006,BTC,7190.64014,
171,2789.04004,2020-04-09,2818.57007,2762.36011,SNP,2780.51001,3081804339
172,2748.58008,2020-04-08,2760.75000,2663.30005,SNP,2685.00000,2238197633
173,2658.23999,2020-04-07,2756.88989,2657.66992,SNP,2750.68994,2840636331
174,2661.14990,2020-04-06,2676.85010,2574.57007,SNP,2578.28003,2918352271
175,2488.64990,2020-04-03,2538.17993,2459.95996,SNP,2514.91992,6087190000
176,2526.89990,2020-04-02,2533.21997,2455.79004,SNP,2458.54004,6454990000
177,2470.50000,2020-04-01,2522.75000,2447.48999,SNP,2498.08008,5947900000
178,2584.59009,2020-03-31,2641.38989,2571.14990,SNP,2614.68994,6568290000
179,2626.64990,2020-03-30,2631.80005,2545.28003,SNP,2558.97998,5746220000
180,2541.46997,2020-03-27,2615.90991,2520.02002,SNP,2555.87012,6194330000
181,2630.07007,2020-03-26,2637.01001,2500.71997,SNP,2501.29004,7753160000
182,2475.56006,2020-03-25,2571.41992,2407.53003,SNP,2457.77002,8285670000
183,2447.33008,2020-03-24,2449.70996,2344.43994,SNP,2344.43994,7547350000
184,2237.39990,2020-03-23,2300.72998,2191.86011,SNP,2290.70996,7402180000
185,2304.91992,2020-03-20,2453.01001,2295.56006,SNP,2431.93994,9044690000
186,2409.38989,2020-03-19,2466.96997,2319.78003,SNP,2393.47998,7946710000
187,2398.10010,2020-03-18,2453.57007,2280.52002,SNP,2436.50000,8755780000
188,2529.18994,2020-03-17,2553.92993,2367.04004,SNP,2425.65991,8358500000
189,2386.12988,2020-03-16,2562.97998,2380.93994,SNP,2508.59009,7781540000
190,2711.02002,2020-03-13,2711.33008,2492.37012,SNP,2569.98999,8258670000
191,2480.63989,2020-03-12,2660.94995,2478.86011,SNP,2630.86011,8829380000
192,2741.37988,2020-03-11,2825.60010,2707.21997,SNP,2825.60010,7374110000
193,2882.22998,2020-03-10,2882.59009,2734.00000,SNP,2813.47998,7635960000
194,2746.56006,2020-03-09,2863.88989,2734.42993,SNP,2863.88989,8423050000
195,2972.37012,2020-03-06,2985.92993,2901.54004,SNP,2954.19995,6552140000
196,3023.93994,2020-03-05,3083.04004,2999.83008,SNP,3075.69995,5575550000
197,3130.12012,2020-03-04,3130.96997,3034.37988,SNP,3045.75000,5035480000
198,3003.37012,2020-03-03,3136.71997,2976.62988,SNP,3096.45996,6355940000
199,3090.22998,2020-03-02,3090.95996,2945.18994,SNP,2974.28003,6376400000
200,2954.21997,2020-02-28,2959.71997,2855.84009,SNP,2916.89990,8563850000
201,2978.76001,2020-02-27,3097.07007,2977.38989,SNP,3062.54004,7058840000
202,3116.38989,2020-02-26,3182.51001,3108.98999,SNP,3139.89990,5478110000
203,3128.20996,2020-02-25,3246.98999,3118.77002,SNP,3238.93994,5591510000
204,3225.88989,2020-02-24,3259.81006,3214.64990,SNP,3257.61011,4842960000
205,3337.75000,2020-02-21,3360.76001,3328.44995,SNP,3360.50000,3899270000
206,3373.22998,2020-02-20,3389.14990,3341.02002,SNP,3380.44995,4007320000
207,3386.14990,2020-02-19,3393.52002,3378.83008,SNP,3380.38989,3600150000
208,3370.29004,2020-02-18,3375.01001,3355.61011,SNP,3369.04004,3746720000
209,3380.15991,2020-02-14,3380.68994,3366.14990,SNP,3378.08008,3398040000
210,3373.93994,2020-02-13,3385.09009,3360.52002,SNP,3365.89990,3498240000
211,3379.44995,2020-02-12,3381.46997,3369.71997,SNP,3370.50000,3926380000
212,3357.75000,2020-02-11,3375.62988,3352.71997,SNP,3365.87012,3760550000
213,3352.09009,2020-02-10,3352.26001,3317.77002,SNP,3318.28003,3450350000
214,3327.70996,2020-02-07,3341.41992,3322.12012,SNP,3335.54004,3730650000
215,3345.78003,2020-02-06,3347.95996,3334.38989,SNP,3344.91992,3868370000
216,3334.68994,2020-02-05,3337.58008,3313.75000,SNP,3324.90991,4117730000
217,3297.59009,2020-02-04,3306.91992,3280.61011,SNP,3280.61011,3995320000
218,3248.91992,2020-02-03,3268.43994,3235.65991,SNP,3235.65991,3757910000
219,3225.52002,2020-01-31,3282.33008,3214.67993,SNP,3282.33008,4527830000
220,3283.65991,2020-01-30,3285.90991,3242.80005,SNP,3256.44995,3787250000
221,3273.39990,2020-01-29,3293.46997,3271.88989,SNP,3289.45996,3584500000
222,3276.23999,2020-01-28,3285.78003,3253.21997,SNP,3255.35010,3526720000
223,3243.62988,2020-01-27,3258.85010,3234.50000,SNP,3247.15991,3823100000
224,3295.46997,2020-01-24,3333.17993,3281.53003,SNP,3333.10010,3707130000
225,3325.54004,2020-01-23,3326.87988,3301.87012,SNP,3315.77002,3764860000
226,3321.75000,2020-01-22,3337.77002,3320.04004,SNP,3330.02002,3619850000
227,3320.79004,2020-01-21,3329.79004,3316.61011,SNP,3321.03003,4105340000
228,3329.62012,2020-01-17,3329.87988,3318.86011,SNP,3323.65991,3698170000
229,3316.81006,2020-01-16,3317.11011,3302.82007,SNP,3302.96997,3535080000
230,3289.29004,2020-01-15,3298.65991,3280.68994,SNP,3282.27002,3716840000
231,3283.14990,2020-01-14,3294.25000,3277.18994,SNP,3285.35010,3665130000
232,3288.12988,2020-01-13,3288.12988,3268.42993,SNP,3271.12988,3456380000
233,3265.35010,2020-01-10,3282.98999,3260.86011,SNP,3281.81006,3212970000
234,3274.69995,2020-01-09,3275.58008,3263.66992,SNP,3266.03003,3638390000
235,3253.05005,2020-01-08,3267.07007,3236.66992,SNP,3238.59009,3720890000
236,3237.17993,2020-01-07,3244.90991,3232.42993,SNP,3241.86011,3420380000
237,3246.28003,2020-01-06,3246.84009,3214.63989,SNP,3217.55005,3674070000
238,3234.85010,2020-01-03,3246.14990,3222.34009,SNP,3226.36011,3461290000
239,3257.85010,2020-01-02,3258.13989,3235.53003,SNP,3244.66992,3458250000
240,8150.51074,2020-04-09,8227.90723,8072.54004,IXIC,8160.48682,2514958769
241,8083.85645,2020-04-08,8113.50977,7902.13379,IXIC,7976.12598,3848684617
242,7883.75635,2020-04-07,8141.41650,7881.21680,IXIC,8128.74756,6730246704
243,7908.13135,2020-04-06,7937.72266,7618.31641,IXIC,7659.98828,3032117348
244,7373.08008,2020-04-03,7518.72021,7288.10986,IXIC,7477.27002,3279100000
245,7487.31006,2020-04-02,7501.70020,7307.95020,IXIC,7317.45020,3608190000
246,7360.58008,2020-04-01,7566.37012,7301.97998,IXIC,7459.50000,3685510000
247,7700.10010,2020-03-31,7880.31006,7642.85986,IXIC,7740.06006,4059700000
248,7774.14990,2020-03-30,7784.35010,7539.97021,IXIC,7583.45996,3846900000
249,7502.37988,2020-03-27,7716.24023,7491.14014,IXIC,7554.25000,3977010000
250,7797.54004,2020-03-26,7809.83008,7462.20996,IXIC,7462.20996,3999850000
251,7384.29980,2020-03-25,7671.20996,7276.39990,IXIC,7421.35986,4666440000
252,7417.85986,2020-03-24,7418.37012,7169.85986,IXIC,7196.14990,4417380000
253,6860.66992,2020-03-23,6984.93994,6631.41992,IXIC,6847.27979,4330610000
254,6879.52002,2020-03-20,7354.43994,6854.66992,IXIC,7248.06982,5239940000
255,7150.58008,2020-03-19,7341.37988,6858.37988,IXIC,6996.45020,4762170000
256,6989.83984,2020-03-18,7182.83008,6686.35986,IXIC,6902.31982,4890820000
257,7334.77979,2020-03-17,7406.22998,6828.91016,IXIC,7072.00000,4900000000
258,6904.58984,2020-03-16,7422.20020,6882.85986,IXIC,7392.72998,4594360000
259,7874.87988,2020-03-13,7875.93018,7219.08984,IXIC,7610.39014,4685890000
260,7201.79980,2020-03-12,7712.33008,7194.66992,IXIC,7398.58008,5066530000
261,7952.04980,2020-03-11,8181.35986,7850.95020,IXIC,8136.25000,4273890000
262,8344.25000,2020-03-10,8347.40039,7930.43018,IXIC,8219.75977,4431930000
263,7950.68018,2020-03-09,8243.30957,7943.16016,IXIC,7957.93018,4530350000
264,8575.62012,2020-03-06,8612.36035,8375.12988,IXIC,8469.01953,4279850000
265,8738.58984,2020-03-05,8921.08008,8677.38965,IXIC,8790.08984,3748090000
266,9018.08984,2020-03-04,9019.95996,8757.66016,IXIC,8834.09961,3602870000
267,8684.08984,2020-03-03,9070.32031,8602.88965,IXIC,8965.09961,4336700000
268,8952.16992,2020-03-02,8952.80957,8543.34961,IXIC,8667.13965,4232760000
269,8567.37012,2020-02-28,8591.82031,8264.16016,IXIC,8269.74023,5301170000
270,8566.48047,2020-02-27,8904.11035,8562.04980,IXIC,8744.03027,4536080000
271,8980.78027,2020-02-26,9148.32031,8927.79980,IXIC,9011.54980,3567830000
272,8965.61035,2020-02-25,9315.25977,8940.49023,IXIC,9301.20020,3583400000
273,9221.28027,2020-02-24,9322.87988,9166.00977,IXIC,9188.44043,3177000000
274,9576.58984,2020-02-21,9715.95020,9542.33008,IXIC,9708.00977,2743010000
275,9750.96973,2020-02-20,9820.86035,9636.94043,IXIC,9799.20020,2735610000
276,9817.17969,2020-02-19,9838.37012,9777.09961,IXIC,9782.80957,2462530000
277,9732.74023,2020-02-18,9747.67969,9675.79980,IXIC,9679.04004,2273460000
278,9731.17969,2020-02-14,9746.36035,9693.04980,IXIC,9728.90039,2222240000
